Method,Accuracy_mean,Accuracy_sd,MacroF1_mean,MacroF1_sd,WeightedF1_mean,WeightedF1_sd,Kappa_mean,Kappa_sd,ECE
T1 only,75.8,1.9,73.2,2.2,75.0,2.0,0.681,0.025,0.112
T1ce only,78.9,1.7,76.8,1.8,78.2,1.7,0.721,0.021,0.098
T2 only,76.4,2.0,74.0,2.1,75.6,2.0,0.69,0.026,0.107
FLAIR only,79.6,1.6,77.5,1.8,78.9,1.7,0.733,0.02,0.091
Early fusion,82.0,1.4,80.2,1.5,81.4,1.5,0.765,0.017,0.079
Attention fusion,83.3,1.3,81.6,1.4,82.7,1.4,0.781,0.016,0.071
Transformer fusion,84.1,1.2,82.4,1.3,83.5,1.3,0.793,0.015,0.066
Evidential fusion,83.5,1.4,81.9,1.5,82.9,1.4,0.786,0.016,0.06
Proposed,86.7,0.9,85.9,1.0,86.2,1.0,0.829,0.012,0.047
